comment,cleaned_comment
"orang pernah berkata :""apa yang kamu tulis itulah apa yang kan kamu baca"",maka apa yang kamu lakukan/tanam maka itulah yang kan kamu unduh/dapatkan. sama halnya sosial media dengan penghuni dunia maya ratusan juta manusia, dengan segala sifat dan sikapnya yang berbeda beda motifnya, jangan sampai anda merelease konten yang bakalan menjadi ladang DOSA JARIYAH, apa lagi yang betina sekarang pada ngonten seronok/sexy memperlihatkan auratnya, hellloooo....jutaan orang melihat dan merekamnya dan pasti menshare ulang kembali, tak hanya buat kepuasan semata, tapi buat mendulang cuan, jika sudah demikian makan alhasil anda pemilik konten seronok takkan bisa menghapusnya,walaupun anda memohon kepada tukang ngesarenya sekalipun, yang ada hanyalah penyesalan.

untuk hal ini sebelum share lihatlah konten kalian terdahulu di fb sosial media lainnya di tahun lalu dengan segala kealayan, meranjak usia dewasa dan tua, pasti kalian sangat menyesal mengapa hal sealai itu anda lakukan. nah itulah bentuk negatif pada diri anda secara kecilnya",orang pernah kata apa yang kamu tulis itu apa yang kan kamu bacamaka apa yang kamu lakukantanam maka itu yang kan kamu unduhdapatkan sama hal sosial media dengan huni dunia maya ratus juta manusia dengan segala sifat dan sikap yang beda beda motif jangan sampai anda merelease konten yang bakal jadi ladang dosa jariyah apa lagi yang betina sekarang pada ngonten seronoksexy lihat aurat helloojutaan orang lihat dan rekam dan pasti menshare ulang kembali tak hanya buat puas semata tapi buat dulang cuan jika sudah demikian makan alhasil anda milik konten seronok tak bisa menghapusnyawalaupun anda mohon kepada tukang ngesarenya sekalipun yang hanya sesal untuk hal ini belum share lihat konten kalian dahulu sosial media lain tahun lalu dengan segala kealayan meranjak usia dewasa dan tua pasti kalian sangat sesal mengapa hal ala itu anda laku nah itu bentuk negatif pada diri anda cara kecil
keren bang,keren bang
"Miris sih l anak jaman sekarang lihat nya ga cowok g cewek, gua lebih kasian kepada perempuan jaman sekarang 😢😢😢",sih anak jaman sekarang lihat nya cowok cewek gua lebih kasi kepada perempuan jaman sekarang
"bangg semua pembahasan lu itu semua real fakta dan gw akui kalo emng rata"" kayak gitu",bangg semua bahas itu semua real fakta dan aku kalo emng rata kayak gitu
"Setelah saya riset di akun google, saya menemukan sesuatu yang sangat berbeda pada algoritma di pengiklanan ataupun tayangan.
jika mendaftar di akun google dengan jenis kelamin pria makan di awal algoritma akan mencoba menampilkan hal-hal yang mengandung erotis.
Sedangkan untuk yang wanita akan selalu menampilkan situs online shop dalah algoritma pengiklanan",saya riset akun google saya temu sesuatu yang sangat beda pada algoritma iklan atau tayang jika daftar akun google dengan jenis kelamin pria makan awal algoritma akan coba tampil halhal yang kandung erotis untuk yang wanita akan selalu tampil situs online shop dalah algoritma iklan
"lu mau tau kenapa bro? karena di zaman sekarang ngasih makan kepala bawah itu lebih gampang, daripada ngasih makan kepala atas. ga banyak cingcong, lu pikirin dah maksud gua apa",mau tau kenapa bro karena zaman sekarang ngasih makan kepala bawah itu lebih gampang daripada ngasih makan kepala atas banyak cingcong pikirin dah maksud gua apa
"ingatlah kata pepatah terumbu karang
""semakin cantik suatu makhluk, maka semakin berbahaya"" 🗿",ingat kata pepatah terumbu karang makin cantik suatu makhluk maka makin bahaya
"Tobru* hanyalah tontonan, spek yaliyalili tetap jadi idaman. Memang konten fulgar masih jadi favorit warga +62.. miris memang. WANITA GAMPANG BANGET NYARI DUIT. TINGGAL BUGIL, GOYANG GOYANG DI DEPAN HP JADI DUIT. Begitulah kira kira 😬🫤",hanya tonton spek yaliyalili tetap jadi idam konten fulgar masih jadi favorit warga miris memang wanita gampang banget nyari duit tinggal bugil goyang goyang depan jadi duit kira kira
"Hidup di jaman sekarang ini apapun akan di lakuin si bg asalkan mendapatkan uang walaupun ga semua orang seperti itu & terkadang ada juga seorang youtuber yang bilang astaghfirullah hal adzim padahal youtuber tersebut terlihat seperti bukan agama Islam tapi youtuber itu mengatakan hal tersebut karena penontonnya kebanyakan beragama Islam makanya youtuber tersebut suka bawa-bawa bacaan istighfar & yg gw tau bacaan istighfar itu cuma ada di agama Islam aja, intinya jaman sekarang uang adalah segalanya karena dengan uang bisa melakukan apapun karena aku juga begitu saya merasakan ketika hidup ku jatuh serta di caci oleh tetangga ku & merasakan bagaimana rasanya cacian tersebut hingga membuat yang dulunya saya baik dengan tetangga tersebut sampai akhirnya perilaku ku berubah seketika akibatnya hinaan yang dulu pernah mereka lontarkan padaku & saya juga ga tau kenapa tetangga seperti itu & Alhamdulillah sekarang hidup ku sudah ada perubahan walaupun begitu saya belum bisa menerima perilaku tetangga ku yang seperti itu sebelum mereka minta maaf kepada ku, saya tidak akan pernah menyapanya & tetap jaga sikap jangan sampai sombong cukup cuek & ga peduli mereka mau apa & ngapain",jaman sekarang ini apa akan lakuin asal dapat uang walaupun semua orang seperti itu terkadang juga orang youtuber yang bilang astaghfirullah hal adzim padahal youtuber sebut lihat seperti bukan agama tapi youtuber itu kata hal sebut karena tonton banyak agama makanya youtuber sebut suka bawabawa baca istighfar tau baca istighfar itu cuma agama aja inti jaman sekarang uang adalah segala karena dengan uang bisa laku apa karena aku juga begitu saya rasa ketika hidup jatuh serta caci oleh tetangga rasa bagaimana rasa caci sebut hingga buat yang dulunya saya baik dengan tetangga sebut sampai akhir perilaku ubah ketika akibat hina yang dulu pernah mereka lontar pada saya juga tau kenapa tetangga seperti itu sekarang hidup sudah ubah walaupun begitu saya belum bisa terima perilaku tetangga yang seperti itu belum mereka minta maaf kepada saya tidak akan pernah sapa tetap jaga sikap jangan sampai sombong cukup cuek peduli mereka mau apa ngapain
"kita butuh org seperti ini ❌
kita harus seperti ini ✅",kita butuh org seperti ini kita harus seperti ini
Semangat bang jangan dengar kata kata orang yang mencela lu bang selama yang engkau ucapkan itu di ridho Allah,bang jangan dengar kata kata orang yang cela bang lama yang engkau ucap itu ridho
"untungnya gua belum pernah nonton soft porn, gua punya mimpi untuk menjadi pembalap WSBK",untung gua belum pernah nonton soft porn gua punya mimpi untuk jadi balap wsbk
"KEEP THIS UP 🔥🔥
Kalo butuh hiburan mah masi mending komedi yang beneran komedi dari pada hal-hal konten yang bodoh",keep this butuh hibur mah mas mending komedi yang beneran komedi dari pada halhal konten yang bodoh
"kayaknya tujuan orang-orang yang membuat konten erotis bukan hanya semata-mata mencari ketenaran atau uang, tapi lebih dari itu yakni kesenangan pribadi, di zaman sekarang wanita juga bisa melakukan pelecehan seksual",kayak tuju orangorang yang buat konten erotis bukan hanya sematamata cari tenar atau uang tapi lebih dari itu yakni senang pribadi zaman sekarang wanita juga bisa laku leceh seksual
"Konten anda sangat berpendidikan bang, tapi besok keluar rumah ya",anda sangat didik bang tapi besok keluar rumah
benar mas anak jaman sekarang suka  nonton yang gak baik,benar mas anak jaman sekarang suka nonton yang gak baik
Mantap bang bisa memperluas pemikiran bukan hanya pemikiran kotor saja,bang bisa luas pikir bukan hanya pikir kotor saja
"Konten lo daging bang, gua follow dah. Moga sukses",daging bang gua follow dah sukses
"terima kasih bang, sangat bermanfaat

semakin menguatkan tekad untuk menyebarkan konten bermanfaat di internet 🙌🏻",terima kasih bang sangat manfaat makin kuat tekad untuk sebar konten manfaat internet
"Gampang. Uninstall aplikasinya. Developer medsosnya juga ga peduli konten2nya apa aja, yang penting mereka udah achieve jumlah pengguna yang udah install aplikasinya. Ya gimana, cuma liat doang aja udah dapet duit, LIAT DOANG GES. Abis itu sistem mereka memaksa kita untuk liat konten mereka (lewat fyp) 
Dunia sudah terlalu banyak berhala. Termasuk mengukur kebahagiaan seseorang dari jumlah likes dan enggagement. Miris.",aplikasi medsosnya juga peduli konten apa aja yang penting mereka udah achieve jumlah guna yang udah install aplikasi gimana cuma liat doang aja udah dapet duit liat doang ges itu sistem mereka paksa kita untuk liat konten mereka lewat fyp sudah terlalu banyak berhala ukur bahagia orang dari jumlah likes dan enggagement
"lanjutkan bro, channel mu menurutku bisa berkembang sampai besar kalau konsisten dan pertahankan kualitas/klo bisa lebih",lanjut bro channel turut bisa kembang sampai besar kalau konsisten dan tahan kualitasklo bisa lebih
keren keren i appriciate that,keren keren appriciate that
"jos bang, jarang2 nemu konten daging kaya gini. moga subscribernya lebih banyak drpd konten2 sampah",jos bang jarang nemu konten daging kaya gin moga subscribernya lebih banyak drpd konten sampah
"Di telegram apalagi,ada grup VCS18+",telegram apalagiada grup vcs
Itulah kenapa gw anti tiktok,kenapa anti tiktok
Woaaaaaaaaah untung saya animator walaupun ga ada pengalaman dan keahlian yang kurang 😅,untung saya animator walaupun alam dan ahli yang kurang
Kita hidup di Negeri iq 70 konoha bro yang di pimpin oleh kaum prindavan Nusantara mau berharap apa dari itu.,hidup konoha bro yang pimpin oleh kaum prindavan mau harap apa dari itu
Aku suka dengan suara dan cara untuk menyampaikan sebuah info. Semoga lebih banyak konten yang menarik di buat,suka dengan suara dan cara untuk sampai buah info lebih banyak konten yang tarik buat
Bg ini cenel ke 2 lu atau gimana ? . Atau cenel dari suara adalah cenel komunitas ?,ini cenel atau gimana cenel dari suara adalah cenel komunitas
Itulah kenapa saya ga pernah install tiktok 😂,kenapa saya pernah install tiktok
ayo like video ini untuk apresiasi konten edukasi,ayo like video ini untuk apresiasi konten edukasi
"05:41 ""KOKBISA?""",kokbisa
Respect broo🔥,broo
"susah susah ngatur algorithm tiktok biar muncul edukasi, eh temen tiba tiba ngirim konten erotis dan ga sengaja pencet like, hari berikutnya malah muncul banyak, hadehhh",susah susah ngatur algorithm tiktok biar muncul edukasi temen tiba tiba ngirim konten erotis dan sengaja pencet like hari ikut malah muncul banyak hadehh
You sir just earn a new subscriber ^^,sir just earn new subscriber
apakah mas nya ini gibran fufufafa? 😅,apakah mas nya ini gibran fufufafa
Betul bet bg sumpah itu konten konten joget harusnya di musnah kan saja,bet sumpah itu konten konten joget harus musnah kan saja
"8:34 teknisnya, buka settingan, ke penyimpanan apps nya, hapus data dan cache. Login ulang, lalu cari konten yg ber ""value"".",teknis buka settingan simpan apps nya hapus data dan cache ulang lalu cari konten ber value
Terimakasih sudah membahas ini ❤,sudah bahas ini
"Di era tiktok,wanita lebih mudah mencari uang ketimbang pria... Modal cantik doang,wanita bisa bikin konten   biasa aja tapi banyak peminatnya",era tiktokwanita lebih mudah cari uang ketimbang pria cantik doangwanita bisa bikin konten biasa aja tapi banyak minat
Setuju bro,bro
Gk aneh,aneh
"Terus berkembang kreator edukatif🥹 dari awal sampai akhir adalah fakta semua, kadang pengaruh tontonan tk senonoh itu bisa mengubah cara pandang orang,. Misal orang yng tidak menunjukan bagian tubuh atau perpakaian sopan bisa jadi menimbulkan hasrat,. Marak sekali sekarang plecehan gk melulu tentang orang2 yng berpakaian terbuka.",kembang kreator edukatif dari awal sampai akhir adalah fakta semua kadang pengaruh tonton senonoh itu bisa ubah cara pandang orang orang yng tidak tunjuk bagi tubuh atau pakai sopan bisa jadi timbul hasrat sekali sekarang plecehan melulu tentang orang yng pakai buka
"Sebenernya cewek² yang bikin konten sperti itu tau mreka jadi bahan dan cuci mata cowok ² 
Tapi like dan view banyak itu yang membuat mreka konsisten bikin konten sperti itu 😂",cewek yang bikin konten sperti itu tau mreka jadi bahan dan cuci mata cowok like dan view banyak itu yang buat mreka konsisten bikin konten sperti itu
"msbreewc ga penting banget sampah njir, anak kecil sd jaman sekarang uda ngerti gara gara si sampah itu nongol terkadang di video"" rame yang viewnya gede",msbreewc penting banget sampah njir anak kecil jaman sekarang uda ngerti gara gara sampah itu nongol terkadang video rame yang viewnya gede
Tapi kalau sudah kecanduan seksual akan merusak salah satu saraf,kalau sudah candu seksual akan rusak salah satu saraf
"mataulghurur kesenangan yang menimpu kata Rasulullah memang benar dunia ini hanya kesenangan yang menipu
Allah humma solli'ala sayyidina muhammad wa ala ali sayyidina muhammad

Allahhumma arinal haqqo haqqon warzuqnat tiba'ahu, wa arinal bathila bathilan warzuqnaj tinaabahu",mataulghurur senang yang menimpu kata memang benar dunia ini hanya senang yang tipu humma solliala sayyidina muhammad ala ali sayyidina muhammad arinal haqqo haqqon warzuqnat tibaahu arinal bathila bathilan warzuqnaj tinaabahu
"suarakan bang, capek juga liat orang2 ngelakuin apapun, dari menurunkan harga diri sampe membahayakan nyawa cuma untuk atensi maya. goblok, tolol memang",suara bang capek juga liat orang ngelakuin apa dari turun harga diri sampe bahaya nyawa cuma untuk atensi maya goblok tolol memang
"""Harga diri belakangan yg penting fyp viral nomor 1."" Gitu kan prinsip orang",diri belakang penting fyp viral nomor kan prinsip orang
Merasa terwakilkan,wakil
"Yang aku jg gk suka, ""pahlawan-pahlawan moral"" Yg ada di konten mereka. 
Niat pengen nasehatin org2 yg nonton tapi malah bikin engagementnya naik. 
Mungkin dulu works ya.. sekarang enggak
Kalau liat itu langsung aja report.",aku suka pahlawanpahlawan moral konten mereka ken nasehatin org nonton tapi malah bikin engagementnya naik dulu works sekarang enggak liat itu langsung aja report
yoiu,yoiu
"Wkwk w termasuk penonton setia  konten edukasi sih bang.. Ga tau, cuman suka aja karena gua berpikir waktu gua ga terbuang sia""... Dan gua senang belajar hal baru. Kalopun isinya ringan dan komedi setidaknya harus pake bahasa asing untuk melatih daya ingat biar ilmu bahasa yg udah gua pelajarin ga luntur, kalopun bahasa indo w cari yg komedinya berbobot.",masuk tonton setia konten edukasi sih bang tau cuman suka aja karena gua pikir waktu gua buang sia gua senang ajar hal baru isi ringan dan komedi tidak harus pake bahasa asing untuk latih daya ingat biar ilmu bahasa udah gua pelajarin luntur kalo bahasa indo cari komedi bobot
w creator,creator
"Konten lgbt di ig dan tiktok berseliweran. Sering scroll ig tiktok malah muncul tiba2 sejenis ciuman hadeuh, padahal sy ngga pernah cari hal spt itu di sosmed.😢",lgbt dan tiktok seliwer scroll tiktok malah muncul tiba jenis cium hadeuh padahal ngga pernah cari hal spt itu sosmed
Bro 😂 masyarakat kita kebanyakan munafik😅 . Coba tebak dan pikirkan,masyarakat kita banyak munafik tebak dan pikir
"Bisa dibilang konten konten kyk gtu tuh ""narkoba gratis"" dan efeknya lebih parah aj drpd rata2 narkoba psikotropika",bilang konten konten kyk gtu tuh narkoba gratis dan efek lebih parah drpd rata narkoba psikotropika
"hapus aja itu tiktok, sumber dosa buat yg gbsa manfaatin dgn baik. aku udh mo se bulan hapus tiktok dan ig rasanya lebih fresh ga gampang pusing. mulai beralih ke aplikasi baca berita dan artikel kyk medium. main game juga dikit’ biar ga bosen’ amat. screen time juga udh mulai berkurang. apapun sumber kecanduan itu jauhin dlm bentuk apapun",hapus aja itu tiktok sumber dosa buat gbsa manfaatin dgn baik aku udh bulan hapus tiktok dan rasa lebih fresh gampang pusing mulai alih aplikasi baca berita dan artikel kyk medium main game juga dikit biar bosen amat screen time juga udh mulai kurang apa sumber candu itu jauhin dlm bentuk apa
Terkenal dengan cara bodoh.... mantap.,dengan cara bodoh mantap
Guru gembul berkata : pemersatu bangsa adalah bokep,gembul kata satu bangsa adalah bokep
Selama ada konten yg bisa mencerdaskan w akan subscribe,konten bisa cerdas akan subscribe
